ID,Requirement,Status,Frontend,Backend,Database,Evidence,Testing,Severity,Notes
DASH-01,Create new quote,🟡 PARTIAL,Yes,Yes,Yes,"frontend/src/components/views/quotations.tsx; quotation-wizard.tsx; POST /api/quotations/wizard; POST /api/quotations/agent/from-package; POST /api/quotations/agent/trip",Code inspection only,P1,Staff wizard exists. Agents cannot call the wizard (403). Agents create from a published package or trip composer only.
DASH-02,View all quotes,🟡 PARTIAL,Yes,Yes,Yes,"GET /api/quotations/manage; quotations.tsx list",Code inspection only,P1,List search pagination and role filter exist. Agent query also matches quotes by status across the branch not only own quotes.
DASH-03,View quote,✅ COMPLETE,Yes,Yes,Yes,"GET /api/quotations/:id/full; QuoteDetailDialog",Code inspection only,P2,Full include of packages versions approvals shares documents. Agents get sanitized payload.
DASH-04,Edit quote,🟡 PARTIAL,Yes,Yes,Yes,"PUT /api/quotations/:id/wizard; PATCH /api/quotations/:id/agent",Code inspection only,P1,Internal users edit the 11-step wizard. Agents can only patch customer details and markup not the full itinerary.
DASH-05,Duplicate quote,✅ COMPLETE,Yes,Yes,Yes,"POST /api/quotations/:id/duplicate",Code inspection only,P3,Agents are forbidden. Staff can duplicate.
DASH-06,Archive quote,✅ COMPLETE,Yes,Yes,Yes,"POST /api/quotations/:id/archive; Quotation.archivedAt",Code inspection only,P3,Soft archive. Agents forbidden.
DASH-07,Delete draft,✅ COMPLETE,Yes,Yes,Yes,"DELETE /api/quotations/:id/draft",Code inspection only,P3,Soft delete via deletedAt and only when status is Draft. Agents forbidden.
DASH-08,Convert to booking,🟡 PARTIAL,Yes,Yes,Yes,"POST /api/quotations/:id/proceed-to-booking in backend/src/routes/bms.ts",Code inspection only,P0,Requires Accepted. Copies selected package lines into BookingService and itinerary JSON. Not a DB transaction. Agents forbidden. Passenger names are placeholders.
DASH-09,Download PDF,🟡 PARTIAL,Yes,No server PDF for quotes,No stored quote PDF by default,"downloadQuotationPdf in frontend/src/lib/quotation-actions.ts; client-quotation-brochure.ts uses window.print",Code inspection only,P1,Customer brochure is a browser print dialog not a generated PDF file. pdfkit exists for other docs. ProposalPdf model is for travel proposals not quotations.
DASH-10,Share via email,🟡 PARTIAL,Yes,Yes,Yes,"POST /api/quotations/:id/share; backend/src/lib/email.ts",Code inspection only,P1,Sends HTML link if SMTP/SendGrid configured. Otherwise returns mailto. Does not attach the brochure PDF.
DASH-11,Share via WhatsApp,🟡 PARTIAL,Yes,Partial,Yes,"POST /api/quotations/:id/share returns wa.me URL; shareQuotationViaWhatsApp",Code inspection only,P1,No WhatsApp Business API. Opens wa.me with a text link. No PDF attachment.
DASH-12,Search by quote number customer destination agent sales executive,✅ COMPLETE,Yes,Yes,Yes,"GET /api/quotations/manage q param; quotations.tsx client filter",Code inspection only,P3,Single search box covers those fields. Dedicated agent-name filter is not a separate control.
DASH-13,Filter quote status destination travel date range,✅ COMPLETE,Yes,Yes,Yes,"status destination travelFrom travelTo query params",Code inspection only,P3,Travel range uses travelStartDate gte and travelEndDate lte separately so overlapping trips can be missed.
DASH-14,Pagination and sorting,✅ COMPLETE,Yes,Yes,Yes,"parsePagination; sort latest oldest value profit status travel",Code inspection only,P3,Profit sort hidden from agents in UI.
LC-01,Status Draft,✅ COMPLETE,Yes,Yes,Yes,"QUOTE_STATUSES; Quotation.status default Draft",Unit tests do not cover transitions,P3,Created by wizard as Draft.
LC-02,Status In Progress,✅ COMPLETE,Yes,Yes,Yes,"STATUS_TRANSITIONS Draft to In Progress",Not transition-tested,P3,Stored as string not enum.
LC-03,Status Pending Approval,✅ COMPLETE,Yes,Yes,Yes,"POST /api/quotations/:id/submit-approval",Not transition-tested,P2,Creates Team Lead approval row and notification.
LC-04,Status Sent to Agent,❌ BROKEN,Yes,Yes,Yes,"POST /api/quotations/:id/share; POST /approve",Not transition-tested,P0,Share from Draft or In Progress sets Sent to Agent without required approval. Approval can also set it.
LC-05,Status Customer Reviewing,✅ COMPLETE,Yes,Yes,Yes,"share and accept/reject routes",Not transition-tested,P3,Agent share moves Sent to Agent to Customer Reviewing.
LC-06,Status Revision Requested,✅ COMPLETE,Yes,Yes,Yes,"POST /api/quotations/:id/request-revision; QuotationRevision",Not transition-tested,P3,Snapshots version before revision.
LC-07,Status Accepted,✅ COMPLETE,Yes,Yes,Yes,"POST /api/quotations/:id/accept; acceptedAt acceptedByName",Not transition-tested,P2,Records who and when.
LC-08,Status Rejected,✅ COMPLETE,Yes,Yes,Yes,"POST /api/quotations/:id/reject; rejectedReason",Not transition-tested,P3,Reason stored.
LC-09,Status Expired,🟡 PARTIAL,Yes,Yes,Yes,"expireDueQuotations; POST /api/quotations/expire-due; POST /extend",Not transition-tested,P1,Auto-expires only when someone loads the list or admin calls expire-due. No scheduled job. No expiry reminder email. Extend exists.
LC-10,Status Converted to Booking,🟡 PARTIAL,Yes,Yes,Yes,"proceed-to-booking; POST mark-converted",Not transition-tested,P0,proceed-to-booking requires Accepted and blocks duplicates. mark-converted can set converted without creating a booking or checking Accepted.
LC-11,Invalid status transitions prevented,🟡 PARTIAL,No dedicated UI matrix,Yes,No,canTransition in backend/src/lib/quotations.ts,No transition tests,P1,POST /status uses canTransition. Share and mark-converted bypass the matrix. override flag exists.
LC-12,Status history with user and timestamp,🟡 PARTIAL,Limited,Yes,Yes,"AuditLog via writeQuoteAudit; QuotationApproval; QuotationVersion",Not tested,P2,Audit log records actions. There is no dedicated status-history table. Versions are not created on every status change.
BD-01,Auto-generated quote number,✅ COMPLETE,Displayed,Yes,Unique quoteNo,"nextQuoteNo TG-QT-YYYY-######",Not tested,P3,Sequence from latest quoteNo not a DB sequence. Race possible under concurrency.
BD-02,Quote date,✅ COMPLETE,Indirect,Yes,quoteDate,"wizard sets quoteDate on create",Not tested,P3,Not a prominent wizard field. Defaults to today on create.
